year,emissions_s2h,emissions_h2c,emissions_s2c,emissions_d2h,emissions_total,emissions_per_material,emissions_glass,emissions_gNOX,emissions_gPM2p5,emissions_gPM10
2023,0.0,0.0,0.0,0,0.0,{},{},0.0,0.0,0.0
2024,1570.4350445954478,104.52032224669284,3886.067837048432,0,5561.023203890572,"{'cement_cover-floor': 16.535401008956462, 'concrete_in-situ': 728.7169188727398, 'concrete_prefab': 2980.9246554039028, 'gravel_sand': 159.8908617628326, 'bitumen': 3.878378063037237, 'brick': 39.53174964005981, 'isolation': 57.56869007665037, 'steel': 59.22748263074177, 'aluminium': 13.137456416878578, 'glass': 1127.007982321075, 'furnishing_stone': 58.94739048257504, 'gypsum': 314.1876862305565, 'plaster': 1.4685509805662473}",{},51113465.33609872,1033085.9425521395,2066171.885104279
2025,5227.686169833958,335.3937426985674,13125.81410638472,0,18688.894018917246,"{'cement_cover-floor': 68.51149739946922, 'concrete_in-situ': 2815.2228770936463, 'concrete_prefab': 9761.626045780207, 'gravel_sand': 480.4536861113771, 'bitumen': 11.191677522376379, 'brick': 133.38692834097597, 'isolation': 183.44344902613798, 'steel': 195.42073502833253, 'aluminium': 40.74723886371369, 'glass': 3794.985714964672, 'furnishing_stone': 206.9131197979378, 'gypsum': 993.9674673025817, 'plaster': 3.0235816857996287}",{},169450974.04536232,3399108.7468839264,6798217.493767853
2026,9936.211308437003,645.6751374187252,24919.072488398328,0,35500.95893425406,"{'cement_cover-floor': 133.89156183526234, 'concrete_in-situ': 5406.237634314808, 'concrete_prefab': 18462.905035335287, 'gravel_sand': 916.0382569128956, 'bitumen': 21.681214528882066, 'brick': 254.8773878371738, 'isolation': 346.61155861108637, 'steel': 369.5870534875375, 'aluminium': 77.91366160960408, 'glass': 7224.307568016927, 'furnishing_stone': 393.06396539780775, 'gypsum': 1889.1907692010116, 'plaster': 4.653267165700145}",{},321325938.91405493,6439469.793131076,12878939.586262152
2027,14692.497760000304,941.8508406629749,37088.965513865056,0,52723.31411452834,"{'cement_cover-floor': 210.0176089265542, 'concrete_in-situ': 8284.229335341164, 'concrete_prefab': 27286.823077795427, 'gravel_sand': 1307.8954918018155, 'bitumen': 31.695605111113817, 'brick': 379.69708090074175, 'isolation': 513.0893896562986, 'steel': 553.2785192735823, 'aluminium': 112.17839086274357, 'glass': 10685.90048042461, 'furnishing_stone': 590.2346778417927, 'gypsum': 2761.692069362539, 'plaster': 6.582387229852629}",{},475388769.70127606,9505456.236735329,19010912.473470658
2028,18747.313263928656,1162.7824328131126,47521.51953581648,0,67431.61523255825,"{'cement_cover-floor': 276.6396489226416, 'concrete_in-situ': 10827.373285006117, 'concrete_prefab': 34799.15820923368, 'gravel_sand': 1618.3483926540237, 'bitumen': 38.41976353318046, 'brick': 483.3078669038838, 'isolation': 650.7989105223949, 'steel': 706.7801881754558, 'aluminium': 139.8177610218959, 'glass': 13635.326815768176, 'furnishing_stone': 761.6894654026606, 'gypsum': 3485.5482467447837, 'plaster': 8.406678669337978}",{},606574688.0300527,12112255.396051465,24224510.79210293
2029,21431.023461638542,1315.193295899536,54294.18996864997,0,77040.40672618804,"{'cement_cover-floor': 319.6874971179106, 'concrete_in-situ': 12402.364864205867, 'concrete_prefab': 39712.49722437838, 'gravel_sand': 1859.640382947815, 'bitumen': 44.05031018229619, 'brick': 557.5519522922604, 'isolation': 744.3751585424855, 'steel': 807.7184499574738, 'aluminium': 160.56951190138668, 'glass': 15567.825165011807, 'furnishing_stone': 868.6779008483945, 'gypsum': 3985.244152143153, 'plaster': 10.204156658823326}",{},692732693.5315127,13829282.398556087,27658564.797112174
2030,24033.46315020808,1482.6201739247476,61048.33281799371,0,86564.41614212655,"{'cement_cover-floor': 364.17298422921033, 'concrete_in-situ': 14043.850080955102, 'concrete_prefab': 44586.27427082969, 'gravel_sand': 2054.0354819797058, 'bitumen': 49.03646609756008, 'brick': 628.5047163768356, 'isolation': 836.40951548208, 'steel': 913.7190782699462, 'aluminium': 179.2380837665122, 'glass': 17460.06002219662, 'furnishing_stone': 980.0248707511084, 'gypsum': 4456.652883902136, 'plaster': 12.437687290040955}",{},777697779.7329383,15517011.415182417,31034022.830364835
2031,25817.091470056504,1601.4810132518664,65704.49779721179,0,93123.07028052016,"{'cement_cover-floor': 397.9124886850114, 'concrete_in-situ': 15211.164425547577, 'concrete_prefab': 47913.50070384935, 'gravel_sand': 2181.9201791298074, 'bitumen': 52.750502824247725, 'brick': 679.5568264303319, 'isolation': 901.4202092527823, 'steel': 987.3580246164406, 'aluminium': 191.87823116767024, 'glass': 18754.363411040667, 'furnishing_stone': 1055.9918565514, 'gypsum': 4780.8816380878425, 'plaster': 14.371783337006617}",{},835822080.5958387,16666608.719853088,33333217.439706177
2032,26901.13519868341,1684.7401508206704,68603.98033666219,0,97189.85568616627,"{'cement_cover-floor': 424.6205992270604, 'concrete_in-situ': 16022.229011149664, 'concrete_prefab': 49911.54825892878, 'gravel_sand': 2245.5824673566635, 'bitumen': 55.176402794907204, 'brick': 714.4114476738089, 'isolation': 943.5731484882426, 'steel': 1035.2952143856073, 'aluminium': 198.8395000363184, 'glass': 19540.90838897656, 'furnishing_stone': 1103.9486268678197, 'gypsum': 4977.480308521529, 'plaster': 16.242311759305146}",{},871026493.1457182,17352437.269315332,34704874.538630664
2033,27409.85874029208,1727.9995703769216,70081.77568967135,0,99219.63400034036,"{'cement_cover-floor': 439.46220618837145, 'concrete_in-situ': 16478.0893718877, 'concrete_prefab': 50908.851033147104, 'gravel_sand': 2255.3730784481704, 'bitumen': 56.89988991964564, 'brick': 730.771401755861, 'isolation': 964.3809325062263, 'steel': 1064.0167299660043, 'aluminium': 200.60558265146864, 'glass': 19915.504557907345, 'furnishing_stone': 1131.2217676755272, 'gypsum': 5056.344608105336, 'plaster': 18.112840181603676}",{},888398424.3017154,17688371.820589103,35376743.641178206
2034,27409.85874029208,1727.9995703769216,70081.77568967135,0,99219.63400034036,"{'cement_cover-floor': 439.46220618837145, 'concrete_in-situ': 16478.0893718877, 'concrete_prefab': 50908.851033147104, 'gravel_sand': 2255.3730784481704, 'bitumen': 56.89988991964564, 'brick': 730.771401755861, 'isolation': 964.3809325062263, 'steel': 1064.0167299660043, 'aluminium': 200.60558265146864, 'glass': 19915.504557907345, 'furnishing_stone': 1131.2217676755272, 'gypsum': 5056.344608105336, 'plaster': 18.112840181603676}",{},888398424.3017154,17688371.820589103,35376743.641178206
