year,emissions_s2h,emissions_h2c,emissions_s2c,emissions_d2h,emissions_total,emissions_per_material,emissions_glass,emissions_gNOX,emissions_gPM2p5,emissions_gPM10
2023,0.0,0.0,0.0,0,0.0,{},{},0.0,0.0,0.0
2024,1570.4350445954478,173.6199241906929,3886.067837048432,0,5630.122805834573,"{'cement_cover-floor': 16.535401008956462, 'concrete_in-situ': 728.7169188727398, 'concrete_prefab': 2980.9246554039028, 'gravel_sand': 159.8908617628326, 'bitumen': 4.277783613037238, 'brick': 40.80380364005982, 'isolation': 61.18263759265038, 'steel': 65.47366495274177, 'aluminium': 15.723155566878575, 'glass': 1159.292277871075, 'furnishing_stone': 60.553131582575034, 'gypsum': 335.2732235865566, 'plaster': 1.4752903805662474}",{},51385778.399698675,1033014.3818522389,2066028.7637044778
2025,5227.686169833958,652.7373968825672,13125.81410638472,0,19006.237673101245,"{'cement_cover-floor': 68.51149739946922, 'concrete_in-situ': 2815.2228770936463, 'concrete_prefab': 9761.626045780207, 'gravel_sand': 480.4536861113771, 'bitumen': 12.432508322376368, 'brick': 139.71721049097602, 'isolation': 201.1425738601381, 'steel': 231.0946657663325, 'aluminium': 49.42058316371367, 'glass': 3947.4501357646723, 'furnishing_stone': 215.83022949793784, 'gypsum': 1080.1861840645818, 'plaster': 3.149475785799628}",{},170697053.68098235,3398783.7845690255,6797567.569138051
2026,9936.211308437003,1276.7591940847217,24919.072488398328,0,36132.042990920054,"{'cement_cover-floor': 133.89156183526234, 'concrete_in-situ': 5406.237634314808, 'concrete_prefab': 18462.905035335287, 'gravel_sand': 916.0382569128956, 'bitumen': 24.08023322888208, 'brick': 267.988436387174, 'isolation': 382.1241375110865, 'steel': 441.38968330753613, 'aluminium': 94.7765115096041, 'glass': 7527.447380598924, 'furnishing_stone': 410.8875192478076, 'gypsum': 2059.32710531501, 'plaster': 4.949495415700144}",{},323804506.1108949,6438826.33737807,12877652.67475614
2027,14692.497760000304,1895.2254574349777,37088.965513865056,0,53676.68873130034,"{'cement_cover-floor': 210.0176089265542, 'concrete_in-situ': 8284.229335341164, 'concrete_prefab': 27286.823077795427, 'gravel_sand': 1307.8954918018155, 'bitumen': 35.11634971111373, 'brick': 399.76891595074204, 'isolation': 567.145225656298, 'steel': 664.0817114375806, 'aluminium': 136.62900846274363, 'glass': 11145.020540838605, 'furnishing_stone': 617.6176024917926, 'gypsum': 3015.269091806537, 'plaster': 7.0747710798526295}",{},479131874.6822562,9504488.832614707,19008977.665229414
2028,18747.313263928656,2421.7834655651313,47521.51953581648,0,68690.61626531027,"{'cement_cover-floor': 276.6396489226416, 'concrete_in-situ': 10827.373285006117, 'concrete_prefab': 34799.15820923368, 'gravel_sand': 1618.3483926540237, 'bitumen': 42.70158118318031, 'brick': 510.1106622038843, 'isolation': 722.7165282663938, 'steel': 856.067586637454, 'aluminium': 170.78492427189602, 'glass': 14243.07752178417, 'furnishing_stone': 798.4535759526602, 'gypsum': 3816.069380974782, 'plaster': 9.11496821933798}",{},611516103.8144944,12110976.74236733,24221953.48473466
2029,21431.023461638542,2747.2777018415604,54294.18996864997,0,78472.49113213008,"{'cement_cover-floor': 319.6874971179106, 'concrete_in-situ': 12402.364864205867, 'concrete_prefab': 39712.49722437838, 'gravel_sand': 1859.640382947815, 'bitumen': 48.92780678229599, 'brick': 588.8801384422605, 'isolation': 826.6240648184842, 'steel': 977.4198431254715, 'aluminium': 195.78528715138674, 'glass': 16258.1446861558, 'furnishing_stone': 910.335375348394, 'gypsum': 4361.113023297149, 'plaster': 11.070938358823325}",{},698355446.6953344,13827825.67630135,27655651.3526027
2030,24033.46315020808,3054.42042522877,61048.33281799371,0,88136.21639343056,"{'cement_cover-floor': 364.17298422921033, 'concrete_in-situ': 14043.850080955102, 'concrete_prefab': 44586.27427082969, 'gravel_sand': 2054.0354819797058, 'bitumen': 54.34866484755985, 'brick': 663.6308520268359, 'isolation': 927.2070958240787, 'steel': 1100.6549075339449, 'aluminium': 217.50878656651224, 'glass': 18217.362800816612, 'furnishing_stone': 1025.8242242511071, 'gypsum': 4867.9013120301315, 'plaster': 13.444931540040951}",{},783870326.1608396,15515409.911677677,31030819.823355354
2031,25817.091470056504,3259.648450325884,65704.49779721179,0,94781.23771759418,"{'cement_cover-floor': 397.9124886850114, 'concrete_in-situ': 15211.164425547577, 'concrete_prefab': 47913.50070384935, 'gravel_sand': 2181.9201791298074, 'bitumen': 58.35974047424748, 'brick': 717.5472597803322, 'isolation': 997.7270556247812, 'steel': 1184.73943778644, 'aluminium': 232.11192061767025, 'glass': 19552.348143362662, 'furnishing_stone': 1104.2325468513986, 'gypsum': 5214.180147197837, 'plaster': 15.49366868700661}",{},842335923.3442194,16664917.360853042,33329834.721706085
2032,26901.13519868341,3389.421628602686,68603.98033666219,0,98894.53716394829,"{'cement_cover-floor': 424.6205992270604, 'concrete_in-situ': 16022.229011149664, 'concrete_prefab': 49911.54825892878, 'gravel_sand': 2245.5824673566635, 'bitumen': 60.93499224490696, 'brick': 754.4293399238094, 'isolation': 1043.1373868562416, 'steel': 1238.5661712516076, 'aluminium': 239.97787488631843, 'glass': 20360.420628674554, 'furnishing_stone': 1153.5104348678185, 'gypsum': 5422.127649871522, 'plaster': 17.452348709305138}",{},877725107.4994988,17350697.923270088,34701395.846540175
2033,27409.85874029208,3445.9450859969375,70081.77568967135,0,100937.57951596037,"{'cement_cover-floor': 439.46220618837145, 'concrete_in-situ': 16478.0893718877, 'concrete_prefab': 50908.851033147104, 'gravel_sand': 2255.3730784481704, 'bitumen': 62.69162921964539, 'brick': 771.4697083558615, 'isolation': 1064.9418272742253, 'steel': 1269.1001917560047, 'aluminium': 241.93472375146865, 'glass': 20741.129453209338, 'furnishing_stone': 1181.173507625526, 'gypsum': 5504.006758115329, 'plaster': 19.356026981603666}",{},895149855.635016,17686618.955142565,35373237.91028513
2034,27409.85874029208,3445.9450859969375,70081.77568967135,0,100937.57951596037,"{'cement_cover-floor': 439.46220618837145, 'concrete_in-situ': 16478.0893718877, 'concrete_prefab': 50908.851033147104, 'gravel_sand': 2255.3730784481704, 'bitumen': 62.69162921964539, 'brick': 771.4697083558615, 'isolation': 1064.9418272742253, 'steel': 1269.1001917560047, 'aluminium': 241.93472375146865, 'glass': 20741.129453209338, 'furnishing_stone': 1181.173507625526, 'gypsum': 5504.006758115329, 'plaster': 19.356026981603666}",{},895149855.635016,17686618.955142565,35373237.91028513
